,Region,Org Code,Modality,Month,MedianWaitDays,Year,Date
827,Y61,RGM,Magnetic Resonance Imaging,Apr,43,2021,2021-04
830,Y61,RGM,Positron Emission Tomography,Apr,0,2021,2021-04
831,Y61,NT3,Computerized Axial Tomography,Apr,8,2021,2021-04
834,Y61,NT3,Magnetic Resonance Imaging,Apr,18,2021,2021-04
836,Y61,RQW,Computerized Axial Tomography,Apr,2,2021,2021-04
839,Y61,RQW,Magnetic Resonance Imaging,Apr,24,2021,2021-04
843,Y61,RCX,Computerized Axial Tomography,Apr,0,2021,2021-04
846,Y61,RCX,Magnetic Resonance Imaging,Apr,28,2021,2021-04
850,Y61,RWG,Computerized Axial Tomography,Apr,0,2021,2021-04
853,Y61,RWG,Magnetic Resonance Imaging,Apr,34,2021,2021-04
857,Y61,RGR,Computerized Axial Tomography,Apr,1,2021,2021-04
860,Y61,RGR,Magnetic Resonance Imaging,Apr,12,2021,2021-04
864,Y62,RBS,Computerized Axial Tomography,Apr,0,2021,2021-04
867,Y62,RBS,Magnetic Resonance Imaging,Apr,8.5,2021,2021-04
871,Y62,NT9,Computerized Axial Tomography,Apr,41.5,2021,2021-04
872,Y62,NT9,Magnetic Resonance Imaging,Apr,29,2021,2021-04
873,Y62,NT9,Positron Emission Tomography,Apr,7,2021,2021-04
874,Y62,RXL,Computerized Axial Tomography,Apr,1,2021,2021-04
877,Y62,RXL,Magnetic Resonance Imaging,Apr,11,2021,2021-04
881,Y62,RMC,Computerized Axial Tomography,Apr,1,2021,2021-04
884,Y62,RMC,Magnetic Resonance Imaging,Apr,14,2021,2021-04
890,Y62,NT4,Computerized Axial Tomography,Apr,12,2021,2021-04
893,Y62,NT4,Magnetic Resonance Imaging,Apr,24,2021,2021-04
896,Y62,RJR,Computerized Axial Tomography,Apr,1,2021,2021-04
899,Y62,RJR,Magnetic Resonance Imaging,Apr,13,2021,2021-04
905,Y62,RJN,Computerized Axial Tomography,Apr,0,2021,2021-04
908,Y62,RJN,Magnetic Resonance Imaging,Apr,21,2021,2021-04
912,Y62,RXR,Computerized Axial Tomography,Apr,4,2021,2021-04
915,Y62,RXR,Magnetic Resonance Imaging,Apr,34,2021,2021-04
920,Y62,NV1,Computerized Axial Tomography,Apr,78,2021,2021-04
921,Y62,NV1,Magnetic Resonance Imaging,Apr,71,2021,2021-04
924,Y62,RXN,Computerized Axial Tomography,Apr,1,2021,2021-04
927,Y62,RXN,Magnetic Resonance Imaging,Apr,13,2021,2021-04
930,Y62,RXN,Positron Emission Tomography,Apr,9,2021,2021-04
932,Y62,RBQ,Computerized Axial Tomography,Apr,29,2021,2021-04
935,Y62,RBQ,Magnetic Resonance Imaging,Apr,42,2021,2021-04
938,Y62,REM,Computerized Axial Tomography,Apr,1,2021,2021-04
941,Y62,REM,Magnetic Resonance Imaging,Apr,15,2021,2021-04
945,Y62,REM,Positron Emission Tomography,Apr,10,2021,2021-04
952,Y62,R0A,Computerized Axial Tomography,Apr,1,2021,2021-04
955,Y62,R0A,Magnetic Resonance Imaging,Apr,31,2021,2021-04
959,Y62,R0A,Positron Emission Tomography,Apr,14,2021,2021-04
961,Y62,RBT,Computerized Axial Tomography,Apr,1,2021,2021-04
964,Y62,RBT,Magnetic Resonance Imaging,Apr,19,2021,2021-04
966,Y62,RM3,Computerized Axial Tomography,Apr,0,2021,2021-04
969,Y62,RM3,Magnetic Resonance Imaging,Apr,41,2021,2021-04
975,Y62,RW6,Computerized Axial Tomography,Apr,2,2021,2021-04
978,Y62,RW6,Magnetic Resonance Imaging,Apr,27,2021,2021-04
981,Y62,NVC,Computerized Axial Tomography,Apr,17,2021,2021-04
984,Y62,NVC,Magnetic Resonance Imaging,Apr,25,2021,2021-04
986,Y62,RVY,Computerized Axial Tomography,Apr,1,2021,2021-04
989,Y62,RVY,Magnetic Resonance Imaging,Apr,22,2021,2021-04
992,Y62,RVY,Positron Emission Tomography,Apr,5,2021,2021-04
993,Y62,NT3,Computerized Axial Tomography,Apr,9,2021,2021-04
996,Y62,NT3,Magnetic Resonance Imaging,Apr,10,2021,2021-04
998,Y62,RBN,Computerized Axial Tomography,Apr,1,2021,2021-04
1001,Y62,RBN,Magnetic Resonance Imaging,Apr,14,2021,2021-04
1004,Y62,RBN,Positron Emission Tomography,Apr,5,2021,2021-04
1006,Y62,RWJ,Computerized Axial Tomography,Apr,0,2021,2021-04
1009,Y62,RWJ,Magnetic Resonance Imaging,Apr,31,2021,2021-04
1013,Y62,RMP,Computerized Axial Tomography,Apr,3,2021,2021-04
1016,Y62,RMP,Magnetic Resonance Imaging,Apr,11,2021,2021-04
1020,Y62,RBV,Computerized Axial Tomography,Apr,29,2021,2021-04
1023,Y62,RBV,Magnetic Resonance Imaging,Apr,23,2021,2021-04
1027,Y62,RBV,Positron Emission Tomography,Apr,14,2021,2021-04
1029,Y62,REN,Computerized Axial Tomography,Apr,34,2021,2021-04
1032,Y62,REN,Magnetic Resonance Imaging,Apr,28,2021,2021-04
1035,Y62,REN,Positron Emission Tomography,Apr,7.5,2021,2021-04
1037,Y62,RET,Computerized Axial Tomography,Apr,1,2021,2021-04
1040,Y62,RET,Magnetic Resonance Imaging,Apr,39,2021,2021-04
1042,Y62,RTX,Computerized Axial Tomography,Apr,19,2021,2021-04
1045,Y62,RTX,Magnetic Resonance Imaging,Apr,28,2021,2021-04
1048,Y62,RTX,Positron Emission Tomography,Apr,14,2021,2021-04
1050,Y62,RWW,Computerized Axial Tomography,Apr,1,2021,2021-04
1053,Y62,RWW,Magnetic Resonance Imaging,Apr,54,2021,2021-04
1058,Y62,RBL,Computerized Axial Tomography,Apr,1,2021,2021-04
1061,Y62,RBL,Magnetic Resonance Imaging,Apr,13,2021,2021-04
1064,Y62,RBL,Positron Emission Tomography,Apr,3,2021,2021-04
1066,Y62,RRF,Computerized Axial Tomography,Apr,3,2021,2021-04
1069,Y62,RRF,Magnetic Resonance Imaging,Apr,27,2021,2021-04
1072,Y63,RCF,Computerized Axial Tomography,Apr,3,2021,2021-04
1075,Y63,RCF,Magnetic Resonance Imaging,Apr,9,2021,2021-04
1077,Y63,NT9,Computerized Axial Tomography,Apr,1,2021,2021-04
1078,Y63,NT9,Magnetic Resonance Imaging,Apr,19,2021,2021-04
1080,Y63,NT9,Positron Emission Tomography,Apr,6,2021,2021-04
1081,Y63,RFF,Computerized Axial Tomography,Apr,1,2021,2021-04
1084,Y63,RFF,Magnetic Resonance Imaging,Apr,9,2021,2021-04
1089,Y63,RAE,Computerized Axial Tomography,Apr,2,2021,2021-04
1092,Y63,RAE,Magnetic Resonance Imaging,Apr,19,2021,2021-04
1095,Y63,RAE,Positron Emission Tomography,Apr,6,2021,2021-04
1097,Y63,RWY,Computerized Axial Tomography,Apr,0,2021,2021-04
1100,Y63,RWY,Magnetic Resonance Imaging,Apr,12,2021,2021-04
1105,Y63,NT4,Computerized Axial Tomography,Apr,5,2021,2021-04
1108,Y63,NT4,Magnetic Resonance Imaging,Apr,17,2021,2021-04
1110,Y63,RXP,Computerized Axial Tomography,Apr,18,2021,2021-04
1113,Y63,RXP,Magnetic Resonance Imaging,Apr,32,2021,2021-04
1117,Y63,RP5,Computerized Axial Tomography,Apr,0,2021,2021-04
1120,Y63,RP5,Magnetic Resonance Imaging,Apr,14,2021,2021-04
1123,Y63,RR7,Computerized Axial Tomography,Apr,1,2021,2021-04
1126,Y63,RR7,Magnetic Resonance Imaging,Apr,11,2021,2021-04
1129,Y63,RR7,Positron Emission Tomography,Apr,12,2021,2021-04
1131,Y63,RCD,Computerized Axial Tomography,Apr,0,2021,2021-04
1134,Y63,RCD,Magnetic Resonance Imaging,Apr,25,2021,2021-04
1137,Y63,RCD,Positron Emission Tomography,Apr,2.5,2021,2021-04
1141,Y63,RWA,Computerized Axial Tomography,Apr,0,2021,2021-04
1144,Y63,RWA,Magnetic Resonance Imaging,Apr,21,2021,2021-04
1149,Y63,NV1,Magnetic Resonance Imaging,Apr,7.5,2021,2021-04
1150,Y63,RR8,Computerized Axial Tomography,Apr,1,2021,2021-04
1153,Y63,RR8,Magnetic Resonance Imaging,Apr,29,2021,2021-04
1156,Y63,RR8,Positron Emission Tomography,Apr,6,2021,2021-04
1158,Y63,RXF,Computerized Axial Tomography,Apr,3,2021,2021-04
1161,Y63,RXF,Magnetic Resonance Imaging,Apr,26,2021,2021-04
1165,Y63,RNN,Computerized Axial Tomography,Apr,0,2021,2021-04
1168,Y63,RNN,Magnetic Resonance Imaging,Apr,24,2021,2021-04
1171,Y63,RNN,Positron Emission Tomography,Apr,8,2021,2021-04
1173,Y63,RVW,Computerized Axial Tomography,Apr,1,2021,2021-04
1176,Y63,RVW,Magnetic Resonance Imaging,Apr,30,2021,2021-04
1179,Y63,RVW,Positron Emission Tomography,Apr,8,2021,2021-04
1181,Y63,RJL,Computerized Axial Tomography,Apr,4,2021,2021-04
1184,Y63,RJL,Magnetic Resonance Imaging,Apr,18,2021,2021-04
1189,Y63,RTF,Computerized Axial Tomography,Apr,1,2021,2021-04
1192,Y63,RTF,Magnetic Resonance Imaging,Apr,24,2021,2021-04
1194,Y63,NT2,Computerized Axial Tomography,Apr,5,2021,2021-04
1197,Y63,NT2,Magnetic Resonance Imaging,Apr,19,2021,2021-04
1199,Y63,NVC,Computerized Axial Tomography,Apr,17,2021,2021-04
1202,Y63,NVC,Magnetic Resonance Imaging,Apr,41,2021,2021-04
1204,Y63,RCU,Computerized Axial Tomography,Apr,21,2021,2021-04
1207,Y63,RCU,Magnetic Resonance Imaging,Apr,32,2021,2021-04
1212,Y63,RHQ,Computerized Axial Tomography,Apr,1,2021,2021-04
1215,Y63,RHQ,Magnetic Resonance Imaging,Apr,32,2021,2021-04
1218,Y63,RHQ,Positron Emission Tomography,Apr,3,2021,2021-04
1220,Y63,RTR,Computerized Axial Tomography,Apr,1,2021,2021-04
1223,Y63,RTR,Magnetic Resonance Imaging,Apr,25,2021,2021-04
1226,Y63,RTR,Positron Emission Tomography,Apr,7,2021,2021-04
1228,Y63,R0B,Computerized Axial Tomography,Apr,1,2021,2021-04
1231,Y63,R0B,Magnetic Resonance Imaging,Apr,28,2021,2021-04
1234,Y63,R0B,Positron Emission Tomography,Apr,8,2021,2021-04
1236,Y63,NT3,Computerized Axial Tomography,Apr,34,2021,2021-04
1239,Y63,NT3,Magnetic Resonance Imaging,Apr,28,2021,2021-04
1241,Y63,RTD,Computerized Axial Tomography,Apr,3,2021,2021-04
1244,Y63,RTD,Magnetic Resonance Imaging,Apr,33,2021,2021-04
1256,Y63,NN4,Computerized Axial Tomography,Apr,31,2021,2021-04
1259,Y63,NN4,Magnetic Resonance Imaging,Apr,17,2021,2021-04
1261,Y63,RCB,Computerized Axial Tomography,Apr,0,2021,2021-04
1264,Y63,RCB,Magnetic Resonance Imaging,Apr,24,2021,2021-04
1268,Y56,NT9,Computerized Axial Tomography,May,4,2021,2021-05
1270,Y56,NT9,Magnetic Resonance Imaging,May,25,2021,2021-05
1272,Y56,NT9,Positron Emission Tomography,May,7,2021,2021-05
1273,Y56,RF4,Computerized Axial Tomography,May,0,2021,2021-05
1276,Y56,RF4,Magnetic Resonance Imaging,May,14,2021,2021-05
1280,Y56,R1H,Computerized Axial Tomography,May,0,2021,2021-05
1283,Y56,R1H,Magnetic Resonance Imaging,May,24,2021,2021-05
1286,Y56,R1H,Positron Emission Tomography,May,27,2021,2021-05
1288,Y56,RQM,Computerized Axial Tomography,May,0,2021,2021-05
1291,Y56,RQM,Magnetic Resonance Imaging,May,0,2021,2021-05
1294,Y56,RQM,Positron Emission Tomography,May,0,2021,2021-05
1296,Y56,NT4,Computerized Axial Tomography,May,6,2021,2021-05
1299,Y56,NT4,Magnetic Resonance Imaging,May,17,2021,2021-05
1302,Y56,RJ6,Computerized Axial Tomography,May,0,2021,2021-05
1305,Y56,RJ6,Magnetic Resonance Imaging,May,0,2021,2021-05
1307,Y56,RVR,Computerized Axial Tomography,May,0,2021,2021-05
1310,Y56,RVR,Magnetic Resonance Imaging,May,15,2021,2021-05
1314,Y56,RP4,Computerized Axial Tomography,May,6.5,2021,2021-05
1317,Y56,RP4,Magnetic Resonance Imaging,May,48,2021,2021-05
1321,Y56,RJ1,Computerized Axial Tomography,May,0,2021,2021-05
1324,Y56,RJ1,Magnetic Resonance Imaging,May,15,2021,2021-05
1327,Y56,RJ1,Positron Emission Tomography,May,0,2021,2021-05
1333,Y56,NYR,Magnetic Resonance Imaging,May,31,2021,2021-05
1336,Y56,RQX,Computerized Axial Tomography,May,0,2021,2021-05
1339,Y56,RQX,Magnetic Resonance Imaging,May,14,2021,2021-05
1343,Y56,RYJ,Computerized Axial Tomography,May,0,2021,2021-05
1346,Y56,RYJ,Magnetic Resonance Imaging,May,13,2021,2021-05
1349,Y56,RYJ,Positron Emission Tomography,May,21,2021,2021-05
1351,Y56,NV1,Computerized Axial Tomography,May,12,2021,2021-05
1354,Y56,NV1,Magnetic Resonance Imaging,May,25,2021,2021-05
1356,Y56,RJZ,Computerized Axial Tomography,May,0,2021,2021-05
1359,Y56,RJZ,Magnetic Resonance Imaging,May,21,2021,2021-05
1362,Y56,RJZ,Positron Emission Tomography,May,11,2021,2021-05
1364,Y56,RAX,Computerized Axial Tomography,May,1,2021,2021-05
1367,Y56,RAX,Magnetic Resonance Imaging,May,10,2021,2021-05
1371,Y56,RJ2,Computerized Axial Tomography,May,0,2021,2021-05
1374,Y56,RJ2,Magnetic Resonance Imaging,May,22,2021,2021-05
1378,Y56,R1K,Computerized Axial Tomography,May,0,2021,2021-05
1381,Y56,R1K,Magnetic Resonance Imaging,May,27,2021,2021-05
1386,Y56,RP6,Computerized Axial Tomography,May,0,2021,2021-05
1389,Y56,RP6,Magnetic Resonance Imaging,May,23,2021,2021-05
1392,Y56,RAP,Computerized Axial Tomography,May,0,2021,2021-05
1395,Y56,RAP,Magnetic Resonance Imaging,May,10,2021,2021-05
1403,Y56,NVC,Magnetic Resonance Imaging,May,23,2021,2021-05
1405,Y56,RAL,Computerized Axial Tomography,May,0,2021,2021-05
1408,Y56,RAL,Magnetic Resonance Imaging,May,13,2021,2021-05
1411,Y56,RAL,Positron Emission Tomography,May,13,2021,2021-05
1413,Y56,RAN,Computerized Axial Tomography,May,12,2021,2021-05
1416,Y56,RAN,Magnetic Resonance Imaging,May,25.5,2021,2021-05
1420,Y56,RV5,Magnetic Resonance Imaging,May,29,2021,2021-05
1421,Y56,NT3,Computerized Axial Tomography,May,10,2021,2021-05
1424,Y56,NT3,Magnetic Resonance Imaging,May,23,2021,2021-05
1426,Y56,RJ7,Computerized Axial Tomography,May,0,2021,2021-05
1429,Y56,RJ7,Magnetic Resonance Imaging,May,21,2021,2021-05
1432,Y56,RJ7,Positron Emission Tomography,May,10,2021,2021-05
1434,Y56,RAS,Computerized Axial Tomography,May,0,2021,2021-05
1437,Y56,RAS,Magnetic Resonance Imaging,May,13.5,2021,2021-05
1441,Y56,RPY,Computerized Axial Tomography,May,21,2021,2021-05
1444,Y56,RPY,Magnetic Resonance Imaging,May,24,2021,2021-05
1447,Y56,RPY,Positron Emission Tomography,May,8,2021,2021-05
1449,Y56,RRV,Computerized Axial Tomography,May,0,2021,2021-05
1452,Y56,RRV,Magnetic Resonance Imaging,May,0,2021,2021-05
1455,Y56,RRV,Positron Emission Tomography,May,0,2021,2021-05
1466,Y58,NT9,Magnetic Resonance Imaging,May,19,2021,2021-05
1468,Y58,NT9,Positron Emission Tomography,May,10,2021,2021-05
1469,Y58,NV3,Computerized Axial Tomography,May,7.5,2021,2021-05
1472,Y58,NV3,Magnetic Resonance Imaging,May,21,2021,2021-05
1474,Y58,NT4,Computerized Axial Tomography,May,13,2021,2021-05
1477,Y58,NT4,Magnetic Resonance Imaging,May,14,2021,2021-05
1479,Y58,AC7,Computerized Axial Tomography,May,4,2021,2021-05
1480,Y58,AC7,Magnetic Resonance Imaging,May,20,2021,2021-05
1482,Y58,AC7,Positron Emission Tomography,May,8,2021,2021-05
1483,Y58,RBD,Computerized Axial Tomography,May,1,2021,2021-05
1486,Y58,RBD,Magnetic Resonance Imaging,May,14,2021,2021-05
1488,Y58,RBD,Positron Emission Tomography,May,13,2021,2021-05
1491,Y58,RTE,Computerized Axial Tomography,May,1,2021,2021-05
1494,Y58,RTE,Magnetic Resonance Imaging,May,24,2021,2021-05
1497,Y58,RTE,Positron Emission Tomography,May,3,2021,2021-05
1499,Y58,RN3,Computerized Axial Tomography,May,1,2021,2021-05
1502,Y58,RN3,Magnetic Resonance Imaging,May,14,2021,2021-05
1507,Y58,RVJ,Computerized Axial Tomography,May,0,2021,2021-05
1510,Y58,RVJ,Magnetic Resonance Imaging,May,21,2021,2021-05
1514,Y58,RBZ,Computerized Axial Tomography,May,0,2021,2021-05
1517,Y58,RBZ,Magnetic Resonance Imaging,May,21,2021,2021-05
1522,Y58,NT2,Magnetic Resonance Imaging,May,5,2021,2021-05
1526,Y58,NTP,Magnetic Resonance Imaging,May,7,2021,2021-05
1528,Y58,NVC,Computerized Axial Tomography,May,13,2021,2021-05
1531,Y58,NVC,Magnetic Resonance Imaging,May,10,2021,2021-05
1533,Y58,REF,Computerized Axial Tomography,May,3,2021,2021-05
1536,Y58,REF,Magnetic Resonance Imaging,May,39,2021,2021-05
1541,Y58,RH8,Computerized Axial Tomography,May,1,2021,2021-05
1544,Y58,RH8,Magnetic Resonance Imaging,May,16,2021,2021-05
1547,Y58,RH8,Positron Emission Tomography,May,6,2021,2021-05
1549,Y58,RD1,Computerized Axial Tomography,May,1,2021,2021-05
1552,Y58,RD1,Magnetic Resonance Imaging,May,23,2021,2021-05
1555,Y58,RD1,Positron Emission Tomography,May,13,2021,2021-05
1561,Y58,RNZ,Computerized Axial Tomography,May,1,2021,2021-05
1564,Y58,RNZ,Magnetic Resonance Imaging,May,19,2021,2021-05
1568,Y58,RH5,Computerized Axial Tomography,May,1,2021,2021-05
1571,Y58,RH5,Magnetic Resonance Imaging,May,14,2021,2021-05
1574,Y58,NT3,Computerized Axial Tomography,May,5,2021,2021-05
1577,Y58,NT3,Magnetic Resonance Imaging,May,6,2021,2021-05
1579,Y58,RA9,Computerized Axial Tomography,May,0,2021,2021-05
1582,Y58,RA9,Magnetic Resonance Imaging,May,22,2021,2021-05
1585,Y58,RA9,Positron Emission Tomography,May,11,2021,2021-05
1587,Y58,RA7,Computerized Axial Tomography,May,0,2021,2021-05
1590,Y58,RA7,Magnetic Resonance Imaging,May,14,2021,2021-05
1593,Y58,RA7,Positron Emission Tomography,May,0,2021,2021-05
1595,Y58,R0D,Computerized Axial Tomography,May,0,2021,2021-05
1598,Y58,R0D,Magnetic Resonance Imaging,May,10,2021,2021-05
1601,Y58,R0D,Positron Emission Tomography,May,13,2021,2021-05
1603,Y58,RK9,Computerized Axial Tomography,May,1,2021,2021-05
1606,Y58,RK9,Magnetic Resonance Imaging,May,28,2021,2021-05
1609,Y58,RK9,Positron Emission Tomography,May,12,2021,2021-05
1611,Y58,RA4,Computerized Axial Tomography,May,0,2021,2021-05
1614,Y58,RA4,Magnetic Resonance Imaging,May,12,2021,2021-05
1616,Y58,RA4,Positron Emission Tomography,May,7.5,2021,2021-05
1618,Y59,NT9,Magnetic Resonance Imaging,May,16,2021,2021-05
1621,Y59,NT9,Positron Emission Tomography,May,14,2021,2021-05
1622,Y59,RTK,Computerized Axial Tomography,May,0,2021,2021-05
1625,Y59,RTK,Magnetic Resonance Imaging,May,19,2021,2021-05
1628,Y59,RXQ,Computerized Axial Tomography,May,0,2021,2021-05
1631,Y59,RXQ,Magnetic Resonance Imaging,May,11,2021,2021-05
1636,Y59,NV3,Magnetic Resonance Imaging,May,15,2021,2021-05
1638,Y59,NT4,Computerized Axial Tomography,May,6,2021,2021-05
1641,Y59,NT4,Magnetic Resonance Imaging,May,7,2021,2021-05
1646,Y59,RN7,Computerized Axial Tomography,May,1,2021,2021-05
1649,Y59,RN7,Magnetic Resonance Imaging,May,24,2021,2021-05
1654,Y59,RVV,Computerized Axial Tomography,May,1,2021,2021-05
1657,Y59,RVV,Magnetic Resonance Imaging,May,22,2021,2021-05
1660,Y59,RVV,Positron Emission Tomography,May,10,2021,2021-05
1662,Y59,RXC,Computerized Axial Tomography,May,1,2021,2021-05
1665,Y59,RXC,Magnetic Resonance Imaging,May,19,2021,2021-05
1671,Y59,RDU,Computerized Axial Tomography,May,0,2021,2021-05
1674,Y59,RDU,Magnetic Resonance Imaging,May,8,2021,2021-05
1678,Y59,RN5,Computerized Axial Tomography,May,0,2021,2021-05
1681,Y59,RN5,Magnetic Resonance Imaging,May,31,2021,2021-05
1684,Y59,RN5,Positron Emission Tomography,May,0,2021,2021-05
1688,Y59,NV1,Computerized Axial Tomography,May,30,2021,2021-05
1690,Y59,NV1,Magnetic Resonance Imaging,May,62,2021,2021-05
1692,Y59,R1F,Computerized Axial Tomography,May,0,2021,2021-05
1695,Y59,R1F,Magnetic Resonance Imaging,May,11,2021,2021-05
1697,Y59,RWF,Computerized Axial Tomography,May,0,2021,2021-05
1700,Y59,RWF,Magnetic Resonance Imaging,May,19,2021,2021-05
1703,Y59,RWF,Positron Emission Tomography,May,0,2021,2021-05
1705,Y59,RPA,Computerized Axial Tomography,May,0,2021,2021-05
1708,Y59,RPA,Magnetic Resonance Imaging,May,20,2021,2021-05
1710,Y59,RPA,Positron Emission Tomography,May,4,2021,2021-05
1716,Y59,RTH,Computerized Axial Tomography,May,0,2021,2021-05
1719,Y59,RTH,Magnetic Resonance Imaging,May,21,2021,2021-05
1722,Y59,RTH,Positron Emission Tomography,May,15,2021,2021-05
1724,Y59,RHU,Computerized Axial Tomography,May,3,2021,2021-05
1727,Y59,RHU,Magnetic Resonance Imaging,May,18,2021,2021-05
1730,Y59,RHU,Positron Emission Tomography,May,17,2021,2021-05
1735,Y59,NTP,Magnetic Resonance Imaging,May,17,2021,2021-05
1737,Y59,RPC,Computerized Axial Tomography,May,13,2021,2021-05
1740,Y59,RPC,Magnetic Resonance Imaging,May,22,2021,2021-05
1743,Y59,RPC,Positron Emission Tomography,May,15,2021,2021-05
1745,Y59,NVC,Computerized Axial Tomography,May,30,2021,2021-05
1748,Y59,NVC,Magnetic Resonance Imaging,May,13,2021,2021-05
1750,Y59,RHW,Computerized Axial Tomography,May,0,2021,2021-05
1753,Y59,RHW,Magnetic Resonance Imaging,May,19,2021,2021-05
1756,Y59,RA2,Computerized Axial Tomography,May,1,2021,2021-05
1759,Y59,RA2,Magnetic Resonance Imaging,May,20,2021,2021-05
1763,Y59,RA2,Positron Emission Tomography,May,0,2021,2021-05
1765,Y59,RW1,Computerized Axial Tomography,May,14,2021,2021-05
1768,Y59,RW1,Magnetic Resonance Imaging,May,42,2021,2021-05
1770,Y59,NT3,Computerized Axial Tomography,May,11,2021,2021-05
1773,Y59,NT3,Magnetic Resonance Imaging,May,14,2021,2021-05
1775,Y59,RTP,Computerized Axial Tomography,May,0,2021,2021-05
1778,Y59,RTP,Magnetic Resonance Imaging,May,11,2021,2021-05
1785,Y59,RHM,Computerized Axial Tomography,May,1,2021,2021-05
1788,Y59,RHM,Magnetic Resonance Imaging,May,18.5,2021,2021-05
1791,Y59,RHM,Positron Emission Tomography,May,17,2021,2021-05
1793,Y59,RYR,Computerized Axial Tomography,May,0,2021,2021-05
1796,Y59,RYR,Magnetic Resonance Imaging,May,18,2021,2021-05
1799,Y59,RYR,Positron Emission Tomography,May,13,2021,2021-05
1801,Y60,NT9,Magnetic Resonance Imaging,May,26,2021,2021-05
1802,Y60,NT9,Positron Emission Tomography,May,8,2021,2021-05
1803,Y60,RQ3,Computerized Axial Tomography,May,1,2021,2021-05
1806,Y60,RQ3,Magnetic Resonance Imaging,May,58.5,2021,2021-05
1811,Y60,RFS,Computerized Axial Tomography,May,1,2021,2021-05
1814,Y60,RFS,Magnetic Resonance Imaging,May,17,2021,2021-05
1818,Y60,NT4,Computerized Axial Tomography,May,4,2021,2021-05
1821,Y60,NT4,Magnetic Resonance Imaging,May,8,2021,2021-05
1823,Y60,RLT,Computerized Axial Tomography,May,1,2021,2021-05
1826,Y60,RLT,Magnetic Resonance Imaging,May,26,2021,2021-05
1833,Y60,RNQ,Computerized Axial Tomography,May,1,2021,2021-05
1836,Y60,RNQ,Magnetic Resonance Imaging,May,18,2021,2021-05
1839,Y60,RNQ,Positron Emission Tomography,May,10,2021,2021-05
1842,Y60,RNS,Computerized Axial Tomography,May,1,2021,2021-05
1845,Y60,RNS,Magnetic Resonance Imaging,May,36,2021,2021-05
1848,Y60,RNS,Positron Emission Tomography,May,8,2021,2021-05
1850,Y60,RX1,Computerized Axial Tomography,May,0,2021,2021-05
1853,Y60,RX1,Magnetic Resonance Imaging,May,15,2021,2021-05
1856,Y60,RX1,Positron Emission Tomography,May,9,2021,2021-05
1861,Y60,NT2,Magnetic Resonance Imaging,May,11.5,2021,2021-05
1864,Y60,NVC,Computerized Axial Tomography,May,16,2021,2021-05
1867,Y60,NVC,Magnetic Resonance Imaging,May,7,2021,2021-05
1869,Y60,RXK,Computerized Axial Tomography,May,0,2021,2021-05
1872,Y60,RXK,Magnetic Resonance Imaging,May,4,2021,2021-05
1875,Y60,RXK,Positron Emission Tomography,May,0,2021,2021-05
1877,Y60,RK5,Computerized Axial Tomography,May,0,2021,2021-05
1880,Y60,RK5,Magnetic Resonance Imaging,May,21,2021,2021-05
1884,Y60,RJC,Computerized Axial Tomography,May,1,2021,2021-05
1887,Y60,RJC,Magnetic Resonance Imaging,May,23,2021,2021-05
1889,Y60,NT3,Computerized Axial Tomography,May,2,2021,2021-05
1892,Y60,NT3,Magnetic Resonance Imaging,May,13,2021,2021-05
1894,Y60,RNA,Computerized Axial Tomography,May,1,2021,2021-05
1897,Y60,RNA,Magnetic Resonance Imaging,May,36,2021,2021-05
1903,Y60,RL1,Computerized Axial Tomography,May,22,2021,2021-05
1906,Y60,RL1,Magnetic Resonance Imaging,May,48,2021,2021-05
1909,Y60,RRJ,Computerized Axial Tomography,May,20,2021,2021-05
1912,Y60,RRJ,Magnetic Resonance Imaging,May,43,2021,2021-05
1917,Y60,RL4,Computerized Axial Tomography,May,1,2021,2021-05
1920,Y60,RL4,Magnetic Resonance Imaging,May,30,2021,2021-05
1924,Y60,RXW,Computerized Axial Tomography,May,0,2021,2021-05
1927,Y60,RXW,Magnetic Resonance Imaging,May,14,2021,2021-05
1931,Y60,RWD,Computerized Axial Tomography,May,1,2021,2021-05
1934,Y60,RWD,Magnetic Resonance Imaging,May,13,2021,2021-05
1937,Y60,RWD,Positron Emission Tomography,May,10,2021,2021-05
1939,Y60,RRK,Computerized Axial Tomography,May,1,2021,2021-05
1942,Y60,RRK,Magnetic Resonance Imaging,May,16,2021,2021-05
1945,Y60,RRK,Positron Emission Tomography,May,15,2021,2021-05
1947,Y60,RKB,Computerized Axial Tomography,May,1,2021,2021-05
1950,Y60,RKB,Magnetic Resonance Imaging,May,22,2021,2021-05
1953,Y60,RKB,Positron Emission Tomography,May,8,2021,2021-05
1955,Y60,RTG,Computerized Axial Tomography,May,0,2021,2021-05
1958,Y60,RTG,Magnetic Resonance Imaging,May,15,2021,2021-05
1961,Y60,RTG,Positron Emission Tomography,May,0,2021,2021-05
1963,Y60,RWE,Computerized Axial Tomography,May,1,2021,2021-05
1966,Y60,RWE,Magnetic Resonance Imaging,May,42,2021,2021-05
1969,Y60,RWE,Positron Emission Tomography,May,8,2021,2021-05
1971,Y60,RJE,Computerized Axial Tomography,May,1,2021,2021-05
1974,Y60,RJE,Magnetic Resonance Imaging,May,25,2021,2021-05
1979,Y60,RBK,Computerized Axial Tomography,May,1,2021,2021-05
1982,Y60,RBK,Magnetic Resonance Imaging,May,23,2021,2021-05
1985,Y60,RWP,Computerized Axial Tomography,May,1,2021,2021-05
